Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,086074,2019,01,01,0.0,1,N
IDCJAC0009,086074,2019,01,02,0.0,1,N
IDCJAC0009,086074,2019,01,03,0.0,1,N
IDCJAC0009,086074,2019,01,04,0.0,1,N
IDCJAC0009,086074,2019,01,05,1.2,1,N
IDCJAC0009,086074,2019,01,06,2.0,1,N
IDCJAC0009,086074,2019,01,07,0.0,1,N
IDCJAC0009,086074,2019,01,08,0.0,1,N
IDCJAC0009,086074,2019,01,09,0.2,1,N
IDCJAC0009,086074,2019,01,10,0.0,1,N
IDCJAC0009,086074,2019,01,11,0.0,1,N
IDCJAC0009,086074,2019,01,12,0.0,1,N
IDCJAC0009,086074,2019,01,13,0.0,1,N
IDCJAC0009,086074,2019,01,14,0.0,1,N
IDCJAC0009,086074,2019,01,15,0.0,1,N
IDCJAC0009,086074,2019,01,16,0.0,1,N
IDCJAC0009,086074,2019,01,17,0.0,1,N
IDCJAC0009,086074,2019,01,18,0.0,1,N
IDCJAC0009,086074,2019,01,19,1.2,1,N
IDCJAC0009,086074,2019,01,20,0.0,1,N
IDCJAC0009,086074,2019,01,21,0.0,1,N
IDCJAC0009,086074,2019,01,22,0.0,1,N
IDCJAC0009,086074,2019,01,23,0.0,1,N
IDCJAC0009,086074,2019,01,24,0.0,1,N
IDCJAC0009,086074,2019,01,25,0.0,1,N
IDCJAC0009,086074,2019,01,26,0.0,1,N
IDCJAC0009,086074,2019,01,27,,,
IDCJAC0009,086074,2019,01,28,,,
IDCJAC0009,086074,2019,01,29,,,
IDCJAC0009,086074,2019,01,30,,,
IDCJAC0009,086074,2019,01,31,13.0,1,N
IDCJAC0009,086074,2019,02,01,0.0,1,N
IDCJAC0009,086074,2019,02,02,0.0,1,N
IDCJAC0009,086074,2019,02,03,0.0,1,N
IDCJAC0009,086074,2019,02,04,0.0,1,N
IDCJAC0009,086074,2019,02,05,,,
IDCJAC0009,086074,2019,02,06,,,
IDCJAC0009,086074,2019,02,07,7.0,1,N
IDCJAC0009,086074,2019,02,08,1.4,1,N
IDCJAC0009,086074,2019,02,09,0.4,1,N
IDCJAC0009,086074,2019,02,10,8.2,1,N
IDCJAC0009,086074,2019,02,11,0.0,1,N
IDCJAC0009,086074,2019,02,12,0.0,1,N
IDCJAC0009,086074,2019,02,13,5.6,1,N
IDCJAC0009,086074,2019,02,14,,,
IDCJAC0009,086074,2019,02,15,,,
IDCJAC0009,086074,2019,02,16,0.0,1,N
IDCJAC0009,086074,2019,02,17,0.0,1,N
IDCJAC0009,086074,2019,02,18,0.0,1,N
IDCJAC0009,086074,2019,02,19,,,
IDCJAC0009,086074,2019,02,20,0.0,1,N
IDCJAC0009,086074,2019,02,21,0.8,1,N
IDCJAC0009,086074,2019,02,22,0.2,1,N
IDCJAC0009,086074,2019,02,23,0.0,1,N
IDCJAC0009,086074,2019,02,24,,,
IDCJAC0009,086074,2019,02,25,0.0,1,N
IDCJAC0009,086074,2019,02,26,0.0,1,N
IDCJAC0009,086074,2019,02,27,0.0,1,N
IDCJAC0009,086074,2019,02,28,,,
IDCJAC0009,086074,2019,03,01,0.0,1,N
IDCJAC0009,086074,2019,03,02,0.0,1,N
IDCJAC0009,086074,2019,03,03,,,
IDCJAC0009,086074,2019,03,04,,,
IDCJAC0009,086074,2019,03,05,,,
IDCJAC0009,086074,2019,03,06,6.0,1,N
IDCJAC0009,086074,2019,03,07,1.0,1,N
IDCJAC0009,086074,2019,03,08,0.0,1,N
IDCJAC0009,086074,2019,03,09,0.0,1,N
IDCJAC0009,086074,2019,03,10,0.0,1,N
IDCJAC0009,086074,2019,03,11,0.2,1,N
IDCJAC0009,086074,2019,03,12,,,
IDCJAC0009,086074,2019,03,13,,,
IDCJAC0009,086074,2019,03,14,0.0,1,N
IDCJAC0009,086074,2019,03,15,0.0,1,N
IDCJAC0009,086074,2019,03,16,0.0,1,N
IDCJAC0009,086074,2019,03,17,,,
IDCJAC0009,086074,2019,03,18,0.0,1,N
IDCJAC0009,086074,2019,03,19,0.0,1,N
IDCJAC0009,086074,2019,03,20,0.0,1,N
IDCJAC0009,086074,2019,03,21,,,
IDCJAC0009,086074,2019,03,22,0.0,1,N
IDCJAC0009,086074,2019,03,23,29.6,1,N
IDCJAC0009,086074,2019,03,24,1.8,1,N
IDCJAC0009,086074,2019,03,25,4.0,1,N
IDCJAC0009,086074,2019,03,26,0.0,1,N
IDCJAC0009,086074,2019,03,27,0.0,1,N
IDCJAC0009,086074,2019,03,28,0.0,1,N
IDCJAC0009,086074,2019,03,29,,,
IDCJAC0009,086074,2019,03,30,,,
IDCJAC0009,086074,2019,03,31,28.8,1,N
IDCJAC0009,086074,2019,04,01,0.0,1,N
IDCJAC0009,086074,2019,04,02,0.0,1,N
IDCJAC0009,086074,2019,04,03,0.0,1,N
IDCJAC0009,086074,2019,04,04,0.0,1,N
